image,Titel,Beschreibung
161_20-011 Matterhorn DSC_7629.jpg,Matterhorn,80 x 100 cm
162_20-012 Niesen DSC_7626.jpg,Niesen,80 x 100 cm
12024 Alpenblick.jpg,Alpenblick,80 x 100 cm
Wildstrubel 30_60_7661.jpg,Wildstrubel,60 x 80 cm
17723 in Graubuenden1.jpg,Graubünden 1,60 x 80 cm
17823 in Graubuenden2.jpg,Graubünden 2,60 x 80 cm
18923 Radons.jpg,Radons,60 x 80 cm
19324 Wallis Triptychon 3_100_50 .jpg,Wallis Triptychon,3 x 50 x 100 cm
20624 Eiger Moench Jungfrau verkauft.jpg,Eiger Ménch Jungfrau,30 x 60 cm
08-006 Ac Ohne Titel.jpg,Ac Ohne Titel,60 x 80 cm
Berner Oberland 100_80_7550.jpg,Berner Oberland,60 x 80 cm
